Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,Year,Pos,Age,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
Alando Tucker,Wisconsin,134.0,126.0,32.1,6.0,12.4,0.48,5.2,10.0,0.522,0.8,2.5,0.307,3.9,6.1,0.636,2.3,3.4,5.7,1.6,0.8,0.2,1.7,1.6,16.5,7.56,2008,SF,23,1.3,0.0,0.0,0.2,3.7
Darius Washington,Memphis,73.0,73.0,31.0,4.7,10.7,0.442,3.5,7.4,0.473,1.3,3.4,0.376,3.7,4.9,0.754,1.0,2.3,3.2,3.5,1.5,0.1,3.4,2.0,14.4,4.82,2008,SG,22,1.1,0.8,0.3,0.0,2.9
Mario West,Georgia Tech,103.0,21.0,13.9,1.1,2.4,0.47,1.0,1.9,0.518,0.1,0.5,0.28800000000000003,0.8,1.2,0.6779999999999999,0.7,1.5,2.3,0.8,1.2,0.2,0.9,2.0,3.2,9.01,2008,SG,23,0.8,0.2,0.2,0.1,0.9
Julian Wright,Kansas,71.0,52.0,24.1,4.4,8.0,0.555,4.4,7.7,0.565,0.0,0.2,0.188,1.5,2.5,0.591,2.1,4.2,6.3,2.0,1.2,1.3,2.2,2.1,10.4,7.23,2008,SF,20,2.1,0.7,0.5,0.2,3.9
Nick Young,USC,96.0,90.0,31.1,5.8,11.9,0.484,4.8,9.2,0.518,1.0,2.7,0.368,3.0,3.9,0.764,1.7,3.3,5.1,1.4,0.8,0.3,2.1,2.5,15.5,6.92,2008,SG,22,1.5,0.8,0.5,0.1,7.5
Thaddeus Young,Georgia Tech,31.0,31.0,29.6,5.7,11.9,0.478,4.5,8.9,0.498,1.3,3.0,0.419,1.7,2.3,0.743,2.3,2.5,4.9,2.0,1.3,0.4,2.2,2.0,14.4,9.36,2008,PF,19,4.2,0.8,1.0,0.1,8.2
Joe Alexander,West Virginia,82.0,70.0,25.3,4.5,10.0,0.447,3.9,7.9,0.488,0.6,2.1,0.295,2.5,3.3,0.765,1.5,3.3,4.8,2.0,0.6,1.2,1.8,2.2,12.1,7.04,2009,SF,22,1.9,0.7,0.3,0.5,4.7
Ryan Anderson,California,66.0,66.0,33.0,6.3,13.1,0.484,4.5,8.5,0.532,1.8,4.7,0.396,4.2,5.0,0.841,2.7,6.3,9.0,1.0,0.5,0.5,1.8,2.5,18.7,8.56,2009,PF,20,4.7,0.8,0.7,0.3,7.4
Darrell Arthur,Kansas,78.0,46.0,21.9,4.7,8.7,0.541,4.7,8.5,0.552,0.0,0.2,0.118,1.8,2.7,0.6759999999999999,2.2,3.3,5.5,0.6,0.7,1.4,1.6,2.8,11.3,7.53,2009,PF,20,4.6,0.6,0.7,0.7,5.6
Jerryd Bayless,Arizona,30.0,30.0,35.7,5.8,12.6,0.458,3.8,7.8,0.489,2.0,4.8,0.407,6.2,7.4,0.8390000000000001,0.4,2.3,2.7,4.0,1.0,0.1,3.0,2.2,19.7,10.22,2009,PG,20,1.1,1.5,0.3,0.0,4.3
Michael Beasley,Kansas State,33.0,33.0,31.5,9.3,17.5,0.532,8.2,14.6,0.562,1.1,2.9,0.379,6.5,8.5,0.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,7.79,2009,PF,20,5.4,1.0,0.5,0.5,13.9
Bobby Brown,Cal State Fullerton,116.0,103.0,34.2,6.0,13.9,0.428,3.3,6.9,0.48,2.6,7.0,0.377,2.3,2.9,0.789,0.5,2.0,2.5,4.4,1.3,0.1,3.1,2.2,16.9,-2.5,2009,SG-PG,24,0.8,1.7,0.3,0.0,5.3
Mario Chalmers,Kansas,110.0,96.0,28.5,4.0,8.3,0.486,2.4,4.4,0.545,1.6,3.9,0.419,2.5,3.2,0.767,0.3,2.5,2.8,3.8,2.6,0.4,2.4,2.4,12.2,7.56,2009,PG,22,2.8,4.9,2.0,0.1,10.0
Joe Crawford,Kentucky,127.0,76.0,25.3,4.0,9.2,0.438,2.6,5.0,0.512,1.5,4.2,0.35,1.8,2.6,0.7020000000000001,1.2,2.2,3.4,1.5,0.5,0.2,1.6,1.9,11.3,8.87,2009,SF,22,2.0,0.5,0.5,0.0,4.5
Chris Douglas-Roberts,Memphis,109.0,100.0,26.1,5.1,9.4,0.54,4.4,7.6,0.579,0.7,1.8,0.3720000000000001,3.3,4.6,0.725,1.2,2.4,3.7,1.7,1.0,0.4,2.0,1.9,14.2,4.64,2009,SG,22,1.1,1.2,0.3,0.2,4.9
Eric Gordon,Indiana,32.0,32.0,34.7,5.8,13.3,0.433,3.6,6.8,0.525,2.2,6.5,0.337,7.2,8.7,0.8340000000000001,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9,6.08,2009,SG,20,2.6,2.8,1.0,0.4,16.1
Donte Greene,Syracuse,35.0,35.0,35.8,6.2,14.9,0.418,3.7,7.4,0.4920000000000001,2.6,7.5,0.345,2.7,3.8,0.7070000000000001,1.7,5.5,7.2,2.0,1.3,1.6,2.6,2.9,17.7,7.96,2009,SF,20,1.6,0.5,0.3,0.3,3.8
Malik Hairston,Oregon,117.0,115.0,31.2,5.2,10.4,0.504,4.0,7.2,0.551,1.2,3.1,0.395,2.4,3.7,0.643,2.0,3.1,5.1,2.1,0.6,0.6,2.0,2.5,14.1,6.87,2009,SG,21,1.9,0.9,0.4,0.5,3.3
Roy Hibbert,Georgetown,136.0,121.0,23.3,4.2,7.0,0.603,4.2,7.0,0.602,0.0,0.0,1.0,2.4,3.5,0.68,2.3,3.7,5.9,1.3,0.4,1.9,1.5,2.5,10.9,7.54,2009,C,22,3.5,0.7,0.3,1.1,7.1
George Hill,IUPUI,95.0,87.0,33.3,5.6,10.7,0.529,4.7,8.3,0.565,0.9,2.3,0.404,4.8,6.1,0.785,1.9,3.8,5.8,3.3,1.6,0.3,2.5,2.8,17.0,-3.26,2009,PG,22,2.1,1.8,0.6,0.3,5.7
Steven Hill,Arkansas,132.0,106.0,19.5,1.7,2.9,0.589,1.7,2.9,0.591,0.0,0.0,0.0,0.6,1.2,0.519,1.2,2.1,3.3,0.3,0.7,2.4,1.0,2.5,4.0,6.31,2009,PF,23,3.0,0.0,0.0,0.0,2.0
Othello Hunter,Ohio State,76.0,45.0,22.2,3.3,5.6,0.583,3.2,5.4,0.591,0.1,0.2,0.308,1.2,2.0,0.603,2.3,3.1,5.5,0.6,0.5,1.3,1.0,2.0,7.8,8.5,2009,PF,22,1.5,0.1,0.1,0.3,1.4
Darnell Jackson,Kansas,125.0,39.0,16.6,2.5,4.3,0.58,2.5,4.2,0.583,0.0,0.0,0.333,1.8,2.6,0.685,1.7,3.2,4.9,0.5,0.5,0.4,1.0,1.8,6.8,8.38,2009,PF,23,1.7,0.2,0.2,0.1,1.9
Dontell Jefferson,Arkansas,62.0,28.0,19.8,1.2,3.0,0.389,0.9,1.9,0.45,0.3,1.0,0.277,1.0,1.5,0.67,0.5,2.1,2.6,3.3,1.1,0.3,2.0,2.0,3.6,4.88,2009,SG,25,2.0,1.5,0.7,0.2,4.8
Kosta Koufos,Ohio State,37.0,35.0,27.1,6.0,11.8,0.508,5.4,10.1,0.535,0.6,1.7,0.349,1.8,2.7,0.68,2.6,4.0,6.7,0.5,0.4,1.8,1.5,2.2,14.4,7.97,2009,C,19,2.9,0.4,0.3,0.6,4.7
Rob Kurz,Notre Dame,108.0,75.0,23.3,2.8,6.0,0.468,2.1,4.4,0.49,0.7,1.6,0.409,3.1,3.8,0.81,2.0,4.0,6.0,1.3,0.6,1.1,1.5,2.5,9.4,6.22,2009,SF,23,2.0,0.5,0.4,0.5,3.9
Courtney Lee,Western Kentucky,127.0,127.0,31.2,6.3,13.6,0.464,4.4,8.8,0.498,1.9,4.8,0.401,3.1,3.7,0.8170000000000001,1.7,3.5,5.2,2.2,1.9,0.6,2.5,2.5,17.6,-1.08,2009,SG,23,2.3,1.2,1.0,0.2,8.4
Brook Lopez,Stanford,53.0,43.0,28.0,6.1,12.7,0.48,6.1,12.3,0.491,0.1,0.4,0.14300000000000002,3.7,4.9,0.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16.0,8.0,2009,C,20,8.1,1.0,0.5,1.8,13.0
Robin Lopez,Stanford,67.0,61.0,24.3,3.5,6.9,0.511,3.5,6.9,0.511,0.0,0.0,0.5,1.9,3.1,0.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,2.5,9.0,8.0,2009,C,20,2.0,0.1,0.2,0.7,3.2
Kevin Love,UCLA,39.0,38.0,29.6,5.8,10.4,0.5589999999999999,5.1,8.3,0.611,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5,7.71,2009,C,20,9.1,1.0,0.4,0.6,11.1
Cartier Martin,Kansas State,112.0,77.0,27.6,4.6,10.1,0.458,3.0,6.1,0.4970000000000001,1.6,4.0,0.399,2.9,3.8,0.78,1.7,3.1,4.8,1.5,0.7,0.2,1.7,2.4,13.8,6.11,2009,SF,24,1.0,0.4,0.2,0.1,2.6
JaVale McGee,Nevada,66.0,31.0,18.7,3.5,6.5,0.542,3.3,5.9,0.563,0.2,0.7,0.35600000000000004,1.4,2.7,0.514,1.7,3.0,4.8,0.3,0.5,1.8,1.6,2.0,8.7,0.49,2009,C,21,3.9,0.3,0.4,1.0,6.5
Anthony Morrow,Georgia Tech,123.0,70.0,23.6,3.8,8.8,0.4370000000000001,1.7,3.8,0.458,2.1,5.0,0.421,1.6,1.8,0.867,1.2,2.0,3.3,1.0,0.8,0.2,1.1,2.0,11.4,8.6,2009,SG,23,3.0,1.2,0.5,0.2,10.1
DeMarcus Nelson,Duke,124.0,74.0,26.2,3.8,8.2,0.466,2.8,5.5,0.511,1.0,2.7,0.373,2.1,3.7,0.586,1.4,3.5,4.9,1.8,1.2,0.3,2.1,2.1,10.8,9.64,2009,PG,23,1.8,1.0,0.7,0.2,4.1
Anthony Randolph,LSU,31.0,31.0,32.8,5.9,12.7,0.464,5.8,12.1,0.483,0.1,0.6,0.105,3.7,5.4,0.693,2.8,5.7,8.5,1.2,1.1,2.3,3.0,2.7,15.6,5.66,2009,PF,19,5.8,0.8,0.7,1.2,7.9
Derrick Rose,Memphis,40.0,39.0,29.2,5.2,10.9,0.477,4.3,8.3,0.521,0.9,2.6,0.337,3.7,5.1,0.7120000000000001,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,5.76,2009,PG,20,3.9,6.3,0.8,0.2,16.8
Brandon Rush,Kansas,109.0,101.0,31.3,4.9,10.9,0.449,3.0,6.6,0.458,1.9,4.3,0.435,1.8,2.5,0.733,1.5,4.0,5.5,2.0,0.7,0.8,2.1,1.5,13.6,7.56,2009,SG,23,3.1,0.9,0.5,0.5,8.1
Sean Singletary,Virginia,123.0,123.0,32.8,5.2,12.9,0.406,3.4,7.9,0.433,1.8,5.0,0.362,4.7,5.5,0.846,1.0,3.0,4.0,4.8,1.6,0.1,3.3,2.7,16.9,7.98,2009,PG,23,0.9,0.8,0.3,0.0,2.4
Mike Taylor,Iowa State,31.0,30.0,35.0,5.3,14.2,0.376,2.8,7.3,0.391,2.5,6.9,0.36,2.8,4.2,0.682,0.7,3.4,4.1,4.5,1.1,0.1,5.4,2.9,16.0,5.19,2009,PG,23,1.7,2.1,0.7,0.0,5.7
Jason Thompson,Rider,122.0,112.0,32.1,6.2,11.8,0.526,6.0,11.0,0.544,0.2,0.8,0.29100000000000004,4.0,6.0,0.667,3.0,6.6,9.6,2.0,0.9,1.9,2.6,3.0,16.7,-3.38,2009,PF,22,7.4,1.1,0.6,0.7,11.1
Anthony Tolliver,Creighton,124.0,93.0,21.5,2.9,5.8,0.491,2.7,5.3,0.506,0.2,0.5,0.333,2.2,3.3,0.6709999999999999,1.8,3.1,4.9,1.1,0.6,1.1,1.4,2.3,8.1,4.21,2009,PF,23,2.2,0.9,0.3,0.1,2.7
Kyle Weaver,Washington State,121.0,103.0,29.8,3.3,7.2,0.464,3.0,5.9,0.505,0.4,1.3,0.277,2.6,3.6,0.716,1.3,3.4,4.7,3.8,1.6,0.8,2.6,2.0,9.6,6.88,2009,SG,22,2.3,1.8,0.8,0.4,5.3
Sonny Weems,Arkansas,69.0,66.0,31.2,5.2,11.0,0.473,3.8,7.3,0.527,1.3,3.7,0.366,1.6,2.1,0.767,1.6,3.0,4.6,2.3,1.3,0.3,2.7,2.0,13.3,7.74,2009,SG,22,0.3,0.3,0.1,0.0,1.6
Russell Westbrook,UCLA,75.0,35.0,21.9,3.1,6.6,0.464,2.6,5.3,0.491,0.5,1.3,0.354,1.7,2.4,0.685,0.9,1.5,2.4,2.5,1.0,0.1,1.6,1.7,8.3,8.77,2009,PG,20,4.9,5.3,1.3,0.2,15.3
Jawad Williams,UNC,128.0,105.0,27.0,4.6,9.5,0.487,3.6,6.7,0.544,1.0,2.8,0.349,2.5,3.5,0.7240000000000001,1.8,3.0,4.8,1.5,0.7,0.7,1.6,1.8,12.7,10.88,2009,SF,25,0.2,0.0,0.1,0.0,1.2
Antonio Anderson,Memphis,150.0,133.0,29.8,2.9,6.9,0.418,2.0,3.9,0.501,0.9,3.0,0.308,1.8,2.8,0.648,1.0,3.0,4.0,3.6,1.4,0.3,1.6,1.8,8.5,4.63,2010,SF,24,1.0,0.0,0.0,0.0,2.0
Jon Brockman,Washington,131.0,129.0,28.7,5.5,10.3,0.534,5.5,10.3,0.534,0.0,0.0,0.0,2.8,4.6,0.612,3.7,6.1,9.8,1.0,0.8,0.1,2.1,2.8,13.8,7.16,2010,PF,22,4.1,0.4,0.3,0.1,2.8
Derrick Brown,Xavier,106.0,72.0,25.0,3.7,6.5,0.573,3.2,5.3,0.61,0.5,1.2,0.415,2.4,3.3,0.718,1.9,3.7,5.6,1.5,0.7,0.8,1.6,2.5,10.3,4.5,2010,SF,22,1.4,0.3,0.4,0.2,3.3
Chase Budinger,Arizona,100.0,100.0,35.4,6.0,12.8,0.469,4.1,7.8,0.524,1.9,5.0,0.383,3.1,4.0,0.782,1.4,4.4,5.8,2.8,1.3,0.4,2.1,1.8,17.0,9.93,2010,SF,21,3.0,1.2,0.5,0.1,8.9
Earl Clark,Louisville,104.0,63.0,26.7,4.0,8.6,0.467,3.5,6.8,0.512,0.5,1.8,0.298,2.0,3.2,0.64,2.1,4.9,7.0,1.7,0.9,1.2,2.1,1.7,10.6,8.03,2010,PF,22,1.2,0.4,0.1,0.3,2.7
Darren Collison,UCLA,142.0,104.0,29.2,4.0,8.3,0.475,2.8,5.7,0.494,1.2,2.7,0.435,2.5,2.9,0.851,0.4,1.8,2.3,4.1,1.6,0.1,2.4,1.4,11.5,8.25,2010,PG,22,2.5,5.7,1.0,0.1,12.4
Dante Cunningham,Villanova,139.0,104.0,27.2,3.7,7.1,0.524,3.7,7.0,0.525,0.0,0.0,0.333,2.2,3.2,0.693,2.5,3.4,5.9,1.0,1.2,0.8,1.8,2.8,9.6,8.7,2010,PF,22,2.5,0.2,0.4,0.3,3.9
JamesOn Curry,Oklahoma State,101.0,83.0,32.0,4.7,10.7,0.4370000000000001,2.7,5.9,0.464,2.0,4.8,0.404,2.2,2.9,0.758,0.5,2.4,2.9,3.5,1.0,0.2,2.8,2.0,13.5,7.56,2010,PG,24,0.0,0.0,0.0,0.0,0.0
Stephen Curry,Davidson,104.0,103.0,32.6,8.4,17.9,0.467,4.4,8.3,0.53,4.0,9.7,0.412,4.6,5.3,0.8759999999999999,0.8,3.8,4.5,3.7,2.1,0.3,3.0,2.4,25.3,-1.31,2010,PG,21,4.5,5.9,1.9,0.2,17.5
Austin Daye,Gonzaga,67.0,34.0,22.5,4.1,8.6,0.477,3.2,6.4,0.495,0.9,2.2,0.422,2.5,3.1,0.79,0.9,4.9,5.8,1.0,0.7,1.9,1.9,2.6,11.6,2.85,2010,SF,21,2.5,0.5,0.4,0.4,5.1
DeMar DeRozan,USC,35.0,35.0,33.4,5.5,10.5,0.523,5.3,9.5,0.562,0.2,1.0,0.16699999999999998,2.7,4.2,0.6459999999999999,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,9.15,2010,SG,20,2.9,0.7,0.6,0.2,8.6
Wayne Ellington,UNC,115.0,112.0,28.5,5.4,11.6,0.463,3.4,6.6,0.513,2.0,5.0,0.397,2.0,2.5,0.809,1.1,3.0,4.1,2.2,0.9,0.1,1.5,1.5,14.7,8.59,2010,SG,22,2.1,1.0,0.3,0.1,6.6
Tyreke Evans,Memphis,37.0,35.0,29.0,6.2,13.6,0.455,5.3,10.3,0.514,0.9,3.4,0.274,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,4.63,2010,SG,20,5.3,5.8,1.5,0.4,20.1
Jonny Flynn,Syracuse,73.0,73.0,36.5,5.6,12.2,0.46,4.2,8.1,0.525,1.4,4.2,0.333,4.0,5.1,0.782,0.6,2.1,2.7,6.0,1.5,0.2,3.1,1.5,16.6,8.72,2010,PG,20,2.4,4.4,1.0,0.0,13.5
Sundiata Gaines,Georgia,123.0,123.0,31.7,4.1,10.0,0.411,3.1,6.7,0.464,1.0,3.3,0.303,2.7,4.6,0.591,1.9,3.6,5.5,3.9,2.1,0.2,2.6,2.1,11.9,6.88,2010,PG,23,0.9,1.2,0.4,0.0,3.3
Alonzo Gee,Alabama,128.0,104.0,28.6,4.7,10.4,0.447,3.8,7.6,0.491,0.9,2.8,0.325,2.5,4.0,0.632,2.4,3.3,5.7,1.3,1.2,0.4,2.1,2.1,12.7,6.0,2010,SG,22,3.0,0.6,0.6,0.1,7.4
Danny Green,UNC,145.0,39.0,19.9,3.4,7.4,0.455,2.1,4.1,0.522,1.3,3.4,0.375,1.4,1.6,0.845,1.4,2.7,4.1,1.8,1.1,1.1,1.4,1.9,9.4,8.39,2010,SG,22,0.9,0.3,0.3,0.2,2.0
Taylor Griffin,Oklahoma,129.0,78.0,22.3,2.3,4.9,0.468,2.2,4.5,0.493,0.1,0.5,0.22,1.9,2.6,0.721,1.7,3.0,4.8,1.0,0.9,0.8,1.4,2.5,6.6,7.19,2010,SF,23,0.3,0.1,0.0,0.3,1.3
Tyler Hansbrough,UNC,142.0,141.0,30.9,6.6,12.3,0.536,6.5,12.1,0.541,0.1,0.3,0.316,6.9,8.7,0.7909999999999999,3.4,5.2,8.6,1.1,1.3,0.5,2.1,2.5,20.2,8.39,2010,PF,24,4.8,1.0,0.6,0.3,8.5
James Harden,Arizona State,69.0,68.0,35.0,6.0,11.9,0.506,4.6,8.0,0.57,1.5,3.9,0.376,5.4,7.2,0.755,1.3,4.1,5.4,3.7,1.9,0.4,3.0,2.5,19.0,7.05,2010,SG,20,3.2,1.8,1.1,0.3,9.9
Jrue Holiday,UCLA,35.0,35.0,27.1,3.2,7.1,0.45,2.4,4.6,0.528,0.8,2.5,0.307,1.3,1.8,0.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,7.18,2010,PG,19,2.6,3.8,1.1,0.2,8.0
Lester Hudson,UT-Martin,65.0,64.0,36.5,9.3,20.4,0.456,5.8,10.8,0.53,3.5,9.5,0.3720000000000001,4.4,5.2,0.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,2.7,26.6,-5.64,2010,PG,25,0.7,0.5,0.3,0.1,2.3
Chris Hunter,Michigan,105.0,27.0,18.4,2.4,5.1,0.464,2.0,4.1,0.501,0.3,1.0,0.318,1.9,2.5,0.7490000000000001,1.3,2.3,3.5,0.5,0.5,0.9,1.5,2.2,7.0,7.05,2010,C,25,2.8,0.6,0.2,0.6,4.5
Othyus Jeffers,UIC,63.0,62.0,32.6,5.1,10.6,0.477,5.0,10.4,0.482,0.0,0.2,0.16699999999999998,3.4,5.6,0.607,3.4,4.7,8.1,2.8,1.3,0.4,2.8,2.7,13.5,0.45,2010,SG,24,1.4,0.1,0.3,0.0,2.6
Brandon Jennings,Fort Wayne,52.0,8.0,15.0,1.3,2.8,0.448,1.0,2.0,0.491,0.3,0.8,0.333,0.5,0.7,0.7709999999999999,0.9,1.7,2.6,0.6,0.5,0.0,0.6,1.5,3.3,-0.63,2010,PG,20,3.4,5.7,1.3,0.2,15.5
James Johnson,Quinnipiac,127.0,127.0,33.7,4.6,11.9,0.385,2.9,7.3,0.394,1.7,4.6,0.37,2.8,3.5,0.792,0.8,2.7,3.5,3.8,1.5,0.1,2.2,2.3,13.6,-7.53,2010,PF,22,2.0,0.7,0.3,0.7,3.9
Oliver Lafayette,Houston,64.0,63.0,34.4,4.9,13.6,0.359,2.4,5.8,0.409,2.5,7.8,0.322,2.7,3.8,0.725,1.3,3.7,5.1,2.5,2.9,0.2,2.0,2.8,15.0,2.54,2010,SG,25,4.0,2.0,0.0,0.0,7.0
Marcus Landry,Wisconsin,121.0,75.0,25.0,3.5,7.2,0.49,3.0,5.8,0.523,0.5,1.5,0.361,1.6,2.4,0.67,1.5,2.7,4.2,1.2,0.6,0.8,1.5,2.1,9.2,7.34,2010,SF,24,1.1,0.0,0.1,0.1,2.4
Ty Lawson,UNC,105.0,95.0,27.0,4.4,8.5,0.517,3.3,5.9,0.568,1.1,2.6,0.403,3.2,4.1,0.78,0.6,2.3,2.9,5.8,1.8,0.1,2.1,2.0,13.1,8.59,2010,PG,22,1.9,3.1,0.7,0.0,8.3
Wesley Matthews,Marquette,127.0,118.0,30.2,4.0,9.1,0.444,3.2,6.8,0.48,0.8,2.3,0.341,4.3,5.4,0.799,1.6,3.4,4.9,2.1,1.2,0.3,2.2,2.3,13.2,7.77,2010,SG,23,2.3,1.5,0.8,0.2,9.4
Eric Maynor,VCU,130.0,104.0,30.7,5.0,11.2,0.449,3.9,8.3,0.477,1.1,3.0,0.37,3.9,4.9,0.7909999999999999,0.5,2.9,3.4,5.2,1.3,0.2,2.4,2.0,15.0,-0.76,2010,PG,22,1.6,3.3,0.5,0.1,4.7
Jodie Meeks,Kentucky,81.0,42.0,27.7,4.8,10.9,0.436,2.6,5.2,0.491,2.2,5.7,0.386,3.7,4.1,0.89,0.7,2.4,3.0,1.6,1.1,0.1,1.8,1.6,15.4,7.77,2010,SG,22,1.7,0.7,0.3,0.1,4.7
DaJuan Summers,Georgetown,101.0,98.0,27.6,3.6,8.3,0.439,2.2,4.2,0.522,1.4,4.1,0.353,2.5,3.4,0.727,1.3,3.1,4.4,1.3,1.0,0.6,2.2,2.4,11.2,8.56,2010,SF,22,1.0,0.4,0.2,0.2,3.0
Jermaine Taylor,UCF,122.0,60.0,25.8,5.8,12.5,0.466,3.8,7.0,0.536,2.1,5.5,0.376,2.5,3.3,0.764,1.5,2.3,3.9,1.4,0.9,0.4,2.2,1.7,16.2,0.56,2010,SG,23,1.5,0.5,0.3,0.1,4.1
Jeff Teague,Wake Forest,61.0,52.0,30.9,5.2,11.2,0.462,3.9,8.2,0.477,1.3,3.0,0.421,4.8,5.9,0.812,0.5,2.5,3.0,3.0,1.9,0.6,3.0,2.3,16.4,8.09,2010,PG,21,0.9,1.7,0.5,0.2,3.2
Garrett Temple,LSU,134.0,131.0,33.1,2.2,5.9,0.371,1.3,2.9,0.47,0.8,3.0,0.278,1.5,1.9,0.7829999999999999,0.8,2.9,3.7,3.6,1.4,0.8,2.2,2.6,6.7,6.28,2010,SG,23,1.1,0.8,0.5,0.2,5.0
Marcus Thornton,LSU,66.0,65.0,32.7,7.1,15.6,0.455,4.5,8.9,0.51,2.5,6.7,0.382,3.7,4.8,0.7709999999999999,2.0,3.5,5.5,1.8,1.5,0.3,2.0,2.0,20.4,4.46,2010,SG,22,2.9,1.6,0.8,0.2,14.5
Terrence Williams,Louisville,140.0,127.0,32.2,4.1,10.3,0.4,2.7,6.0,0.457,1.4,4.4,0.32,1.5,2.6,0.589,1.5,5.5,6.9,3.9,1.5,0.6,2.4,1.9,11.2,7.65,2010,SF,22,4.5,2.9,0.6,0.1,8.4
Sam Young,Pitt,143.0,78.0,25.5,5.0,10.1,0.498,4.2,7.8,0.539,0.8,2.3,0.35600000000000004,2.4,3.4,0.6920000000000001,1.8,3.2,5.0,1.0,0.8,0.8,1.9,1.7,13.2,8.0,2010,SF,24,2.5,0.7,0.4,0.3,7.4
Jeff Adrien,UConn,133.0,101.0,29.5,4.5,8.8,0.515,4.5,8.7,0.516,0.0,0.0,0.333,3.0,4.9,0.606,2.9,5.6,8.5,1.1,0.6,1.1,1.9,1.8,12.1,7.0,2011,PF,24,2.5,0.4,0.2,0.2,2.5
Solomon Alabi,Florida State,77.0,68.0,22.0,3.5,6.6,0.534,3.5,6.6,0.535,0.0,0.0,0.0,2.1,2.9,0.745,2.1,3.3,5.4,0.4,0.5,2.1,1.7,2.1,9.1,7.34,2011,C,22,1.2,0.2,0.2,0.2,0.5
Al-Farouq Aminu,Wake Forest,62.0,60.0,30.1,5.0,10.6,0.476,4.6,8.9,0.522,0.4,1.7,0.238,3.9,5.7,0.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4,8.1,2011,SF,20,3.3,0.7,0.7,0.3,5.6
Luke Babbitt,Nevada,68.0,68.0,34.9,6.5,13.6,0.48,5.4,11.0,0.494,1.1,2.6,0.421,5.2,5.8,0.893,2.0,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4,1.98,2011,SF,21,1.3,0.3,0.1,0.1,1.5
Eric Bledsoe,Kentucky,37.0,35.0,30.3,3.9,8.4,0.462,2.6,5.0,0.516,1.3,3.5,0.383,2.2,3.3,0.667,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2,11.3,6.82,2011,PG,21,2.8,3.6,1.1,0.3,6.7
Trevor Booker,Clemson,134.0,134.0,28.4,5.1,9.2,0.5589999999999999,5.0,8.6,0.574,0.2,0.5,0.324,2.4,3.9,0.624,3.0,4.9,7.9,1.7,1.1,1.9,1.9,2.3,12.9,7.85,2011,PF,23,3.9,0.5,0.4,0.6,5.3
Craig Brackins,Iowa State,96.0,95.0,31.8,6.0,13.4,0.445,5.2,10.9,0.48,0.7,2.5,0.292,3.4,4.7,0.726,1.7,6.0,7.7,1.6,0.5,1.0,2.0,2.0,16.0,7.34,2011,PF,23,1.3,0.3,0.3,0.0,2.7
Avery Bradley,Texas,34.0,32.0,29.5,4.7,10.8,0.4320000000000001,3.4,7.5,0.457,1.2,3.3,0.375,1.1,1.9,0.545,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4,11.6,7.38,2011,PG,20,0.5,0.4,0.3,0.0,1.7
Sherron Collins,Kansas,143.0,77.0,28.5,4.6,10.3,0.444,3.0,6.0,0.4920000000000001,1.6,4.3,0.377,2.4,3.0,0.8079999999999999,0.4,2.0,2.4,3.9,1.0,0.0,2.3,1.8,13.2,7.8,2011,PG,23,0.3,0.4,0.1,0.0,0.9
DeMarcus Cousins,Kentucky,38.0,37.0,23.5,5.4,9.7,0.5579999999999999,5.4,9.6,0.565,0.0,0.2,0.16699999999999998,4.3,7.1,0.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1,6.82,2011,C,20,8.6,2.5,1.0,0.8,14.1
Zabian Dowdell,Virginia Tech,122.0,118.0,34.0,5.1,11.9,0.43,3.4,7.2,0.471,1.7,4.7,0.3670000000000001,2.7,3.6,0.745,0.7,2.6,3.2,3.1,2.0,0.2,2.2,1.8,14.6,5.77,2011,PG,26,0.8,2.1,0.8,0.1,5.0
Devin Ebanks,West Virginia,69.0,65.0,32.1,4.0,8.6,0.463,3.9,7.6,0.51,0.1,1.0,0.114,3.1,4.2,0.736,2.8,5.2,7.9,2.6,0.9,0.7,2.1,1.7,11.2,9.3,2011,SG,21,1.4,0.1,0.2,0.3,3.1
